"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","18","5","6","5","1","3","0","1","",""
"区南部","39","10","9","13","0","1","0","0","",""
"区西南部","7","0","0","5","0","1","1","0","",""
"区西部","36","12","11","15","0","9","0","1","",""
"区西北部","8","1","2","1","0","1","0","0","",""
"区東北部","0","0","0","0","0","3","0","0","",""
"区東部","8","2","0","2","0","4","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","1","1","0","",""
"北多摩西部","0","0","0","0","0","1","0","0","",""
"北多摩南部","0","0","1","0","0","4","2","0","",""
"北多摩北部","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","116","30","29","41","1","31","4","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","10","2","8","1","1","2","0","0","",""
"区南部","16","9","0","1","1","1","0","0","",""
"区西南部","9","6","2","0","0","5","0","0","",""
"区西部","12","3","1","4","2","7","1","0","",""
"区西北部","7","0","0","1","0","2","1","0","",""
"区東北部","2","0","0","0","0","0","0","0","",""
"区東部","13","1","2","3","1","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","",""
"南多摩","15","4","1","2","2","3","0","0","",""
"北多摩西部","4","2","0","2","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","2","0","0","",""
"北多摩北部","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","",""
"合計","89","27","14","14","7","26","2","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2026年1月"
"集計期間終了月","2026年1月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","28","7","14","6","2","5","0","1","10","4"
"区南部","55","19","9","14","1","2","0","0","3","1"
"区西南部","16","6","2","5","0","6","1","0","5","3"
"区西部","48","15","12","19","2","16","1","1","11","4"
"区西北部","15","1","2","2","0","3","1","0","6","2"
"区東北部","2","0","0","0","0","3","0","0","3","1"
"区東部","21","3","2","5","1","6","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","1"
"南多摩","15","4","1","2","2","4","1","0","5","1"
"北多摩西部","4","2","0","2","0","1","0","0","2","1"
"北多摩南部","1","0","1","0","0","6","2","0","3","3"
"北多摩北部","0","0","0","0","0","5","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","1"
"合計","205","57","43","55","8","57","6","2","55","25"


